KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS       Yhteiskoulunaukio                                                                   1    1                     091Helsinki            Helsingfors         
KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS       Huopalahden laiturivaihde                                                           1   11 -   13              091Helsinki            Helsingfors         
KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS       Huopalahden laiturivaihde                                                           2    2                     091Helsinki            Helsingfors         
KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS       Lärkaninpolku                 Lärkans stig                                          1    3            5        091Helsinki            Helsingfors         
KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS       Lärkaninpolku                 Lärkans stig                                          2    4            6        091Helsinki            Helsingfors         
KATUN2019111600320HELSINKI                      HELSINGFORS                   HKI         HFORS                                                                                           0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 1                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 2                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 3                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 4                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 5                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 6                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 7                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 8                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 9                                                                                0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 10                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 11                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 12                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 13                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 14                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                           PL 15                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600321HELSINKI                      HELSINGFORS                                                                                                                               0                          091Helsinki            Helsingfors         
KATUN2019111600324SMARTPOST                     SMARTPOST                                                                                                                                 0                          091Helsinki            Helsingfors         
